288	Assignment Problem	basic	PersonnelPlan	20260909/assignment_problem_coding_en.zip
286	Cutting Stock Problem	basic	Manufacture	20260907/cutting_stock_coding_en.zip
277	Pooling Problem	basic	EnergyAndElectricity	20260821/pooling_problem_coding_en.zip
272	Movie Scheduling	intermediate	SupplyChainManagemen	20260814/movie_schedule_coding_en.ipynb.zip
268	Job Shop Scheduling Problem	basic	ProductionPlan	20260803/job_shop_scheduling_problem_coding_en.zip
264	Production Planning & Sensitivity Analysis	basic	ProductionPlan	20260731/production_planning_and_sensitivitu_analysis_coding_en.zip
261	Overseas Oil & Gas Benefit-Production Optimization	advanced	EnergyAndElectricity	20260717/OilOptimization_coding_en.zip
256	Warehouse Network Management Problem	advanced	Supply Chain & Logistics	20260715/Warehouse network management_en.zip
258	Fresh Produce Pricing & Supply Optimization	basic	SupplyChainManagemen	20260625/Agriculture_pricing_coding_en.zip
253	Security Constrained Unit Commitment	basic	EnergyAndElectricity	20260708/Security_Constrained_Unit_Commitment_coding_en.zip
250	Performance Evaluation Problem	basic	PersonnelPlan	20260708/Performance_evaluation_issues_coding_en.zip
240	Powering a Zero-Carbon Island: Co-optimizing Wind, Solar, and Hydrogen Storage	intermediate	EnergyAndElectricity	20260424/pypsa_example_coding_en.zip
224	Curve fitting Problem	basic	Education & Research	20260708/Curve_fitting_coding_en.zip
223	Protein Folding Problem	basic	Healthcare & Medicine	20260708/Protein_folding_problem_coding_en.zip
215	Farming Planning Problem	intermediate	ProductionPlan	20260708/farming_planning_problem_coding_en.zip
214	Set Cover Problem	basic	Education	20260708/set_cover_problem_coding_en.zip
213	Employee Training Plan	basic	PersonnelPlan	20260708/employee_training_coding_en.zip
212	Customer-Store Allocation Problem	basic	SupplyChainManagemen	20260708/customer_store_allocation_coding_en.zip
211	Trajectory Smoothing Optimization	advanced	Automatic Control	20251111/Trajectory_Opt_coding_en.ipynb.zip
209	Interconnect Delay Optimization	advanced	ProductionPlan	20260708/Interconnect_Sizing_coding_en.zip
208	Binary Classification with Logistic Regression	intermediate	Education	20260707/binary_classification_coding_en.zip
204	0-1 Knapsack Problem	basic	Education	20260708/knapsack-coding-en.zip
201	ATM Cash Management	advanced	Finance	20260708/cash-management-coding-en.zip
200	Risk Parity model	basic	Finance	20260708/risk-parity-coding-en.zip
198	Index Tracking Portfolio	basic	Finance	20260707/index-tracking-basic-en.zip
43	Curriculum Scheduling Problem	basic	Education	20260708/COPT-modeling-and-solving-Course-Scheduling- Problem.zip
54	3D Tic-Tac-Toe Game	basic	Education	20260708/3D_Tic-Tac-Toe_Game_coding_en.zip
64	Sudoku Game	basic	Education	20260708/sudoku_en.zip
130	Linear Regression	basic	Education	20260708/LP-regression-en.zip
65	TSP Problem	intermediate	Transportation	20260708/IP_callback_en.zip
