Movie Scheduling	license	MIP 825 x 7222 — over the free 2000-variable cap
Protein Folding Problem	license	MIP 2468 constraints — over the free 2000-constraint cap
ATM Cash Management	license	MIP 8518 x 8180 — over the free cap
Powering a Zero-Carbon Island: Co-optimizing Wind, Solar, and Hydrogen Storage	license	LP 30698 x 24864 — over the free 10000 cap
Warehouse Network Management Problem	license	MIP 4127 x 4088 — over the free cap
Trajectory Smoothing Optimization	issue	solves fine; the final plot cell passes a coptpy NdArray to matplotlib, which recent matplotlib rejects
