288	指派问题	20260909/assignment_problem_coding_cn.zip
286	木材切割问题	20260907/cutting_stock_coding_cn.zip
277	汇池问题	20260821/pooling_problem_coding_cn.zip
272	影院排片优化	20260814/movie_schedule_coding_cn.ipynb.zip
268	车间作业调度问题	20260803/job_shop_scheduling_problem_coding_cn.zip
264	生产计划与灵敏度分析	20260731/production_planning_and_sensitivitu_analysis_coding_cn.zip
261	海外油气效益产量优化问题	20260717/OilOptimization_coding_cn.zip
256	仓网布局问题	20260715/Warehouse network management_cn.zip
258	生鲜定价与供应决策优化问题	20260625/Agriculture_pricing_coding_cn.zip
253	安全约束机组组合问题	20260708/Security_Constrained_Unit_Commitment_coding_cn.zip
250	绩效评估问题	20260708/Performance_evaluation_issues_coding_cn.zip
240	零碳孤岛的风光储氢协同优化	20260422/pypsa_example_coding_cn.zip
224	曲线拟合问题	20260708/Curve_fitting_coding_cn.zip
223	蛋白质氨基酸链折叠问题	20260708/Protein_folding_problem_coding_cn.zip
215	农田轮播排产问题	20260708/farming_planning_problem_coding_cn.zip
214	集合覆盖问题	20260708/set_cover_problem_coding_cn.zip
213	人员培训计划	20260708/employee_training_coding_cn.zip
212	客户门店分配问题	20260708/customer_store_allocation_coding_cn.zip
211	轨迹平滑优化	20251111/Trajectory_Opt_coding_cn.ipynb.zip
209	电路互连延迟优化	20260708/Interconnect_Sizing_coding_cn.zip
208	二分类逻辑回归	20260707/binary_classification_coding_cn.zip
204	0-1背包问题	20260708/knapsack-coding.zip
201	自动取款机现金管理模型	20260708/cash-management-coding.zip
200	风险平价模型	20260708/risk-parity-coding.zip
198	指数追踪投资组合	20260707/index-tracking-basic.zip
43	选课问题	20260708/COPT建模求解选课问题.zip
54	三维井字棋游戏	20260708/3D_Tic-Tac-Toe_Game_coding_cn.zip
64	数独游戏	20260708/sudoku_cn.zip
130	线性回归	20260708/LP-regression-cn.zip
65	旅行商问题	20260708/IP_callback.zip
