MSFT,AAPL,NVDA,GOOGL,GOOG,AMZN,META,BRK-B,LLY,AVGO,JPM,TSLA,V,WMT,XOM,UNH,MA,PG,COST,JNJ,ORCL,MRK,HD,BAC,CVX,NFLX,ABBV,AMD,KO,CRM,PEP,QCOM,TMO,ADBE,WFC,LIN,DHR,TMUS,ACN,CSCO,MCD,DIS,AMAT,GE,TXN,ABT,AXP,CAT,INTU,VZ
0.042891683846672635,-0.005501298486425221,-0.004998236752062124,0.04263268291853839,0.04786855609805696,-0.01557601223652838,-0.054290538055702164,-0.01725104620793383,0.23175774840817054,0.02889120576628046,0.019883931107188557,0.12450585757436827,-0.11649058388335842,-0.025390233649902116,0.08782140902154567,-0.0487624553433329,-0.11276144650935493,-0.0729960414037294,-0.064626608310698,0.03653593092393859,-0.06227792239968466,-0.05782366772959091,0.019576902198679358,-0.0217749853950735,0.008880847984686913,-0.015423531377126043,-0.03239757524671294,-0.06618689080165874,-0.12199128906252721,0.013616139459368126,-0.07909647005367337,0.025863019414407162,0.09429343654237377,-0.08268016977370907,-0.009940269455767092,-0.06872615139686633,0.07067611281654096,-0.06503534028265356,-0.07068369591380408,0.00428040074361169,-0.03141036408377229,-0.07180699335205709,0.12027798252884603,-0.011111200624238982,0.01562600122664559,0.13332653542302864,-0.035086852725185524,0.009849628790171483,-0.047494634194563456,-0.05810861621743091
0.0041180705757928315,-0.07971210354205582,0.055794015420701726,0.1064651338812379,0.10955800979459895,-0.03532841376742368,-0.0027483552129256017,0.05547022276078084,-0.010695503707486398,0.042996723111944135,0.1437784120805834,-0.14874045049393914,0.10074888178583175,-0.07523655410894814,0.23312493379209398,-0.004077023042391881,0.11875191048651912,-0.03650262415612482,-0.05895177674007801,-0.02257036211538499,0.06751612933649653,-0.057739855811893004,-0.046082131944086724,0.17065764528511473,0.19029997035480872,0.012133888239368673,0.05132715234848173,-0.013194736822412345,0.017445449741075647,-0.04016672473971439,-0.054038056757268804,-0.12855122428133414,-0.11697090209722538,0.0019618205977194325,0.21433945223487227,-0.004604611002120063,-0.07639574475662136,-0.048461307353561356,0.037119589961579935,0.00650496048530913,-0.002076562925944603,0.12410049823460922,0.2248065932671457,0.17415726741022763,0.03971269824101786,-0.030827808708498772,0.16342672777806522,0.18070445361545717,0.08003202487789607,0.010045534676245138
0.01458826938856661,0.007339626081403372,-0.026369417055274624,0.02008499955309917,0.01559752123827396,0.00037178414851712915,0.1432729597581115,0.062201185212874766,-0.08819366516465921,-0.005502990535318553,0.03438198779960677,-0.011206569460841198,-0.0031075212029318955,0.049854715722730036,0.026853168459789023,0.12392963640778598,0.0062171941447712875,0.0963327640270979,0.06489423870381339,0.037169953855263005,0.08773806611435742,0.07088001418756029,0.1889865103693218,0.12020102451032555,0.04789993686547689,-0.031901277201904055,0.004455266079423259,-0.07111586775897039,0.08488940570934078,-0.021385693217108703,0.10364140800318378,-0.02179389804434284,0.014583203013239787,0.03415489640574809,0.08017698928597028,0.1517775213735535,0.02560912614400701,0.04434447855126278,0.1010364317129464,0.15244055930091416,0.08731923873158465,-0.023910168852878888,0.13038359963131652,0.04801727051691618,0.09705704100920598,0.0005009434603837626,0.04883295266657717,0.0740687016213113,-0.018147352421670204,0.05153707588275336
0.06960162629114897,0.07621766948357922,0.12445443030335257,0.14107980810337506,0.16508019310029476,0.12066273709568343,0.10372452840806501,0.07625165731102479,-0.021678579127647812,-0.016089369463912262,0.016330192094809792,0.06214724771921731,0.10310321230500885,0.030037435114746103,0.025255213210962246,0.07184118584370469,0.07432539272654459,-0.008538465434559495,0.0578956004116542,-0.00985668207882362,0.0847649389246059,-0.033597025449468965,0.060344093094526485,0.047557202366336204,-0.016413677571206042,-0.015699886636955207,0.04283563110506283,0.03974525791824246,0.024094211566259904,0.08708178943993494,0.01915894188716205,0.04683620291376389,0.030347502419013628,0.06935650453196018,0.1530583589201524,0.020346782563333665,0.12822124002719515,0.05459339551751907,0.052913670054725914,-0.008412774844116844,0.053270219591872614,0.008129145089111667,-0.006661639103084482,-0.0007617056531965538,-0.03959823686682562,0.005681731974407356,0.08420554480846953,-0.011768755444522938,0.07751290333200433,0.004501233540881389
-0.007627474060085904,-0.05049704801532129,0.08228126505537392,0.0014233865084067876,0.000597578450869829,-0.07047025525869377,0.011228107077303706,0.05270045314078531,0.09767825650228135,0.03535727830248092,0.06781086978574247,-0.11871335524117277,-0.025389075703930897,0.01913920008274772,0.034597028861806045,0.03289882165305191,-0.05622153185973222,0.010718149476192096,0.01660891931331454,0.04655514405559735,0.03892295326043871,0.0186576744379936,-0.014706401858863072,0.0458920049452789,0.019311739242147352,-0.020760655447744858,0.015246560401241505,-0.01886793511032847,0.02426799631418408,0.03377902679885669,0.02622079019205925,-0.030691842445939255,-0.0015524676381224456,-0.0073966435706659395,0.03933238199598765,0.05163750178343318,0.008663314828493363,0.0705364661676986,-0.026933548297111254,0.03908871992730467,-0.003804830875813514,-0.03961945467371508,0.04266065960623622,0.07164651117666931,0.05157602605770273,-0.02856424630377119,0.04421227595050037,0.05685853071309088,0.06533853595564687,-0.02249524401667502
0.08498898499077479,0.09910928341123149,0.2316221698268599,0.036039653503386226,0.03929404965123218,0.06735498737093981,0.057737330269071796,-0.039800956731970594,0.1490938109235953,0.01745097505416937,-0.052971343285512895,0.08713734718910104,0.02868464668597448,-0.007111181610538142,0.08069213465897973,-0.024308971546615266,0.012507667346648876,0.000593050487210478,0.04599890315129174,-0.026646875876587095,-0.011430087085604446,0.08319333964070319,0.00518085695272319,-0.023270476825337894,0.009153145763268089,0.050516148321220644,-0.004947036412485395,0.17295202494301298,-0.013967670112425279,0.02591350678093507,0.008871890350692357,0.06778206292695321,0.07508435784191425,0.16064852002322239,-0.030607780481995528,-0.034872045599249724,0.04852797048450075,0.023895343860065976,0.044761561545834994,0.0018904236458101575,-0.012399090160503556,-0.016120775611115468,0.030912984443794977,-0.041761244702893996,0.013065068357684728,-0.0061724019281163,0.03184891336407958,-0.09727064947029451,0.11633167220494145,-0.00814322293809866
0.0517165620147344,0.06498238984771665,-0.025171883316896126,0.10350603127969737,0.07904009502430975,-0.032722282722282725,0.024704504574862618,0.001331300731545637,0.06090963703102159,0.017951545834818505,-0.01855059268071646,0.01103427987887895,0.0537592719204969,0.010849619157365264,-0.08734935875039962,0.029417649667292878,0.05835469432512186,0.060731812330551804,0.08809248482288812,0.04528325947844669,0.12360562378341688,-0.011572610229799385,0.029163437824956784,-0.06960963009270105,-0.027974037328412082,-0.020143530425078326,0.044003471804415994,0.13052275201105168,0.053964098638965785,-0.009579614695018224,0.05925612312003192,0.048065257975670184,0.07045022756538666,0.06145411743420559,0.014352014204159547,0.06326500868414264,0.10854821592613084,-0.0055927382171298,0.08069029306569764,0.05200058190493162,0.050738131598097036,0.001422245540197764,-0.017345574181887757,-0.037890033448885196,-0.0032080316212046434,0.04753383578648318,0.03476962772759484,-0.04489493075999784,0.082458024438407,0.006721961283987277
0.06159087653393924,0.0424894014510806,0.14820995732825581,0.07400915762835969,0.07573536140229575,0.043034169499993835,0.06477682826013509,0.02687836515532882,0.06416418771709531,0.024330402752986924,0.0538279945455018,0.07060538379906944,-0.06890574243279746,0.042756881824483006,-0.03864511341245791,0.009824839192190238,-0.10289156332173621,0.001124881362412733,0.059969201013901685,0.011375207921189068,0.022836740344871487,-0.007545159548754121,-0.006124473191331137,0.08837327658496208,-0.03668917156620777,0.09973529065962938,0.038520978147482676,0.0426593716465582,-0.012624853224302623,0.09647414117581676,-0.0035683908815118404,-0.020760788140507747,0.02766609812490506,0.06767692517054358,-0.0008943315663536566,0.023422996994439504,0.08964998652588707,-0.048604338359712784,0.05943094026757123,0.0659201456984877,-0.016266939964138083,0.029996591632427183,-0.03253639283796017,0.017470985774152847,0.001521407884271131,0.04455277461318752,-0.026798769083899554,0.019927430329020668,0.06819279528741706,-0.013983302649198559
-0.06611875946889167,-0.06803681963333252,-0.07455888094938368,-0.07616925379412043,-0.08384660962499901,-0.05351810876292584,-0.10540874074945816,-0.04489619997029082,-0.10546282946745145,-0.017550212020012945,0.023382407853849374,0.05404233150359361,-0.027717103382019825,-0.05887924698066882,0.0788700826332831,-0.05803583518660049,0.004187914759380851,-0.018189381924345494,-0.013480019384960462,-0.06717508461748745,-0.022439353268306594,-0.006644192220845335,0.011493452383591896,0.021976863095368504,0.04836207369505141,0.07229576105967994,-0.10688846608919722,-0.07062860918178882,-0.06116164128441026,0.022430065014197087,-0.0316450190272195,-0.11663602009337326,0.029995361148131394,-0.13255995161329337,0.015535930736547687,-0.06426080149781366,-0.06018476824966712,-0.06758133649708475,-0.04944139697368166,-0.07777025177954566,0.015371095570426041,-0.06690565857071462,-0.047361798195519667,-0.021625982061637128,0.00680954531196809,-0.06520541556146553,0.009460151506208936,-0.08962853881656418,-0.04698730762820558,-0.01800024846162762
0.17629094452728156,0.058657485118481345,0.2341668893046438,0.10749876550574489,0.11259467103695298,0.02660245759664326,-0.04661315589396098,0.05154981753632559,0.10261853311732194,0.09638512231653196,0.04413056116069414,0.436529595729082,-0.049293028536845473,0.07203345409295969,0.0960557490255396,0.17845642137421147,-0.033755465842448706,0.029158929279216927,0.09566088905194547,0.008544908932512474,0.10494388683100131,0.17228072938666505,0.13245612872620227,0.12555969272199885,0.12853599346317113,0.13102527637772354,0.07592665599596304,0.16841595310080026,0.07432831715287103,0.10497014165461982,0.07439662959447002,0.031477906747548134,0.10806367679951712,0.12964638790848237,0.10234873885496021,0.08800854304093075,0.0240769334352271,-0.09964005368125328,0.1248287586757224,0.03523985287655962,0.018414729574657285,-0.0005910932419727066,0.061524124960792514,0.017858859230585944,-0.018601152995710746,0.09529880495400977,0.039885505989173176,0.06858583222109704,0.16177117349535086,-0.007233363927697578
